id,task_id,instruction,exe_status,robot_id,box_code,lattice_code,create_time,execute_time,update_time,robot_type
75737,44026,GO_SOMEWHERE,COMPLETED,1510132,,,2021-12-16 16:24:24.339,2021-12-16 16:24:24.339,2021-12-16 16:24:26.665,P40
75738,44027,GO_SOMEWHERE,COMPLETED,1510131,,,2021-12-16 16:24:24.348,2021-12-16 16:24:24.348,2021-12-16 16:24:26.669,P40
75740,44029,GO_SOMEWHERE,COMPLETED,1510139,,,2021-12-16 16:24:24.366,2021-12-16 16:24:24.366,2021-12-16 16:24:26.671,P40
75742,44013,GO_SOMEWHERE,COMPLETED,5211169,,,2021-12-16 16:24:24.382,2021-12-16 16:24:24.382,2021-12-16 16:24:26.678,RS5-D
75743,44031,GO_SOMEWHERE,COMPLETED,1510137,,,2021-12-16 16:24:24.390,2021-12-16 16:24:24.390,2021-12-16 16:24:26.680,P40
75751,44039,GO_SOMEWHERE,COMPLETED,1510113,,,2021-12-16 16:24:24.468,2021-12-16 16:24:24.468,2021-12-16 16:24:26.691,P40
75753,44041,GO_SOMEWHERE,COMPLETED,1510120,,,2021-12-16 16:24:24.485,2021-12-16 16:24:24.485,2021-12-16 16:24:26.693,P40
75752,44040,GO_SOMEWHERE,COMPLETED,1510112,,,2021-12-16 16:24:24.477,2021-12-16 16:24:24.477,2021-12-16 16:24:26.785,P40
75741,44030,GO_SOMEWHERE,COMPLETED,1510138,,,2021-12-16 16:24:24.374,2021-12-16 16:24:24.374,2021-12-16 16:24:27.880,P40
75746,44034,GO_SOMEWHERE,COMPLETED,1510118,,,2021-12-16 16:24:24.416,2021-12-16 16:24:24.416,2021-12-16 16:24:27.881,P40
75748,44036,GO_SOMEWHERE,COMPLETED,1510116,,,2021-12-16 16:24:24.438,2021-12-16 16:24:24.438,2021-12-16 16:24:38.688,P40
75726,44017,GO_SOMEWHERE,COMPLETED,1510109,,,2021-12-16 16:24:24.174,2021-12-16 16:24:24.174,2021-12-16 16:24:38.798,P40
75739,44028,GO_SOMEWHERE,COMPLETED,1510140,,,2021-12-16 16:24:24.356,2021-12-16 16:24:24.356,2021-12-16 16:24:38.804,P40
75727,44018,GO_SOMEWHERE,CANCELED,1510108,,,2021-12-16 16:24:24.184,2021-12-16 16:24:24.184,2021-12-16 16:24:39.028,P40
75725,44016,GO_SOMEWHERE,COMPLETED,1510110,,,2021-12-16 16:24:24.164,2021-12-16 16:24:24.164,2021-12-16 16:24:45.359,P40
75755,44018,GO_SOMEWHERE,COMPLETED,1510108,,,2021-12-16 16:24:38.665,2021-12-16 16:24:38.665,2021-12-16 16:24:45.362,P40
75756,44042,GO_SOMEWHERE,COMPLETED,1510132,,,2021-12-16 16:24:38.673,2021-12-16 16:24:38.673,2021-12-16 16:24:45.367,P40
75757,44043,GO_SOMEWHERE,COMPLETED,1510137,,,2021-12-16 16:24:38.681,2021-12-16 16:24:38.681,2021-12-16 16:24:45.373,P40
75731,44022,GO_SOMEWHERE,COMPLETED,1510104,,,2021-12-16 16:24:24.249,2021-12-16 16:24:24.249,2021-12-16 16:25:07.942,P40
75749,44037,GO_SOMEWHERE,COMPLETED,1510115,,,2021-12-16 16:24:24.449,2021-12-16 16:24:24.449,2021-12-16 16:25:07.986,P40
75758,44044,GO_SOMEWHERE,COMPLETED,1510112,,,2021-12-16 16:24:38.689,2021-12-16 16:24:38.689,2021-12-16 16:25:07.988,P40
75734,44023,GO_SOMEWHERE,CANCELED,1510135,,,2021-12-16 16:24:24.289,2021-12-16 16:24:24.289,2021-12-16 16:25:08.428,P40
75761,44049,GO_SOMEWHERE,COMPLETED,1510132,,,2021-12-16 16:25:07.592,2021-12-16 16:25:07.592,2021-12-16 16:25:14.255,P40
75768,44023,GO_SOMEWHERE,COMPLETED,1510135,,,2021-12-16 16:25:08.220,2021-12-16 16:25:08.220,2021-12-16 16:25:14.255,P40
75762,44048,GO_SOMEWHERE,COMPLETED,1510131,,,2021-12-16 16:25:07.598,2021-12-16 16:25:07.598,2021-12-16 16:25:14.257,P40
75763,44050,GO_SOMEWHERE,COMPLETED,1510139,,,2021-12-16 16:25:07.605,2021-12-16 16:25:07.605,2021-12-16 16:25:14.259,P40
75764,44047,GO_SOMEWHERE,COMPLETED,1510138,,,2021-12-16 16:25:07.611,2021-12-16 16:25:07.612,2021-12-16 16:25:14.260,P40
75760,44046,GO_SOMEWHERE,CANCELED,1510110,,,2021-12-16 16:25:07.584,2021-12-16 16:25:07.584,2021-12-16 16:25:14.366,P40
75721,44014,GO_SOMEWHERE,COMPLETED,1510103,,,2021-12-16 16:24:24.077,2021-12-16 16:24:24.077,2021-12-16 16:25:21.095,P40
75722,44015,GO_SOMEWHERE,COMPLETED,1510102,,,2021-12-16 16:24:24.127,2021-12-16 16:24:24.127,2021-12-16 16:25:21.097,P40
75770,44046,GO_SOMEWHERE,COMPLETED,1510110,,,2021-12-16 16:25:14.090,2021-12-16 16:25:14.090,2021-12-16 16:25:21.099,P40
75772,44054,GO_SOMEWHERE,COMPLETED,1510115,,,2021-12-16 16:25:14.139,2021-12-16 16:25:14.139,2021-12-16 16:25:21.107,P40
75759,44045,GO_SOMEWHERE,COMPLETED,1510140,,,2021-12-16 16:24:45.247,2021-12-16 16:24:45.247,2021-12-16 16:25:32.181,P40
